GND	WIKI PAGE DE	HITS (btw 2014/05/28 and 2014/06/26)	AVG HITS (per day)	CHAR_COUNT (on 2014/06/28)	WORD_COUNT (on 2014/06/28)
http://d-nb.info/gnd/119360322	http://de.wikipedia.org/wiki/Werner_David_Feist	37	1.23	2690	312
http://d-nb.info/gnd/127210342		0	0	0	0
http://d-nb.info/gnd/106348671		0	0	0	0
http://d-nb.info/gnd/119074664	http://de.wikipedia.org/wiki/Grete_Weiskopf	308	10.27	5446	635
http://d-nb.info/gnd/125996446		0	0	0	0
http://d-nb.info/gnd/115820922	http://de.wikipedia.org/wiki/Konrad_Algermissen	102	3.4	5340	588
http://d-nb.info/gnd/126233683		0	0	0	0
http://d-nb.info/gnd/119556677	http://de.wikipedia.org/wiki/Andreas_Scheu	65	2.17	3921	456
http://d-nb.info/gnd/116800992	http://de.wikipedia.org/wiki/Kurt_Martens	78	2.6	4406	482
http://d-nb.info/gnd/11906748X		0	0	0	0
http://d-nb.info/gnd/126667446		0	0	0	0
http://d-nb.info/gnd/104417398X	http://de.wikipedia.org/wiki/Ren%C3%A9_Gilsi	37	1.23	2184	272
http://d-nb.info/gnd/127969209		0	0	0	0
http://d-nb.info/gnd/115270175		0	0	0	0
http://d-nb.info/gnd/118851039	http://de.wikipedia.org/wiki/Ernst_Benedikt	87	2.9	5342	652
http://d-nb.info/gnd/102167540		0	0	0	0
http://d-nb.info/gnd/107295903		0	0	0	0
http://d-nb.info/gnd/126195412		0	0	0	0
http://d-nb.info/gnd/126477701		0	0	0	0
http://d-nb.info/gnd/116996579	http://de.wikipedia.org/wiki/Arthur_Liebert	78	2.6	4021	437
http://d-nb.info/gnd/117136018	http://de.wikipedia.org/wiki/Friedrich_von_Oppeln-Bronikowski	188	6.27	5314	593
http://d-nb.info/gnd/126855552		0	0	0	0
http://d-nb.info/gnd/116939389		0	0	0	0
http://d-nb.info/gnd/100207669		0	0	0	0
http://d-nb.info/gnd/118639293	http://de.wikipedia.org/wiki/Maxim_Gorki	4157	138.57	25282	3114
http://d-nb.info/gnd/125755090		0	0	0	0
http://d-nb.info/gnd/118988050	http://de.wikipedia.org/wiki/Christopher_Morley	120	4	3065	352
http://d-nb.info/gnd/126865450		0	0	0	0
http://d-nb.info/gnd/127265643		0	0	0	0
http://d-nb.info/gnd/104870311		0	0	0	0
http://d-nb.info/gnd/126257558		0	0	0	0
http://d-nb.info/gnd/10738275X	http://de.wikipedia.org/wiki/Friedrich_Everling	50	1.67	4635	522
http://d-nb.info/gnd/125266006		0	0	0	0
http://d-nb.info/gnd/118536389	http://de.wikipedia.org/wiki/Erich_Fromm	6608	220.27	48932	6216
http://d-nb.info/gnd/12944300X		0	0	0	0
http://d-nb.info/gnd/116881763	http://de.wikipedia.org/wiki/Ania_Teillard	78	2.6	3575	435
http://d-nb.info/gnd/118641719	http://de.wikipedia.org/wiki/Theodor_Plievier	479	15.97	15874	1915
http://d-nb.info/gnd/120300273		0	0	0	0
http://d-nb.info/gnd/118650033	http://de.wikipedia.org/wiki/Pietro_Aretino	771	25.7	16261	2116
http://d-nb.info/gnd/1011708019		0	0	0	0
http://d-nb.info/gnd/116659491	http://de.wikipedia.org/wiki/Wolfgang_Heine	208	6.93	8241	967
http://d-nb.info/gnd/126840660		0	0	0	0
http://d-nb.info/gnd/128288752		0	0	0	0
http://d-nb.info/gnd/118656562	http://de.wikipedia.org/wiki/Johann_Heinrich_von_Bernstorff	169	5.63	6703	776
http://d-nb.info/gnd/12840633X	http://de.wikipedia.org/wiki/Maximilian_Ronge	267	8.9	8487	991
http://d-nb.info/gnd/101860986		0	0	0	0
http://d-nb.info/gnd/101299621		0	0	0	0
http://d-nb.info/gnd/126175144		0	0	0	0
http://d-nb.info/gnd/126664307		0	0	0	0
http://d-nb.info/gnd/109007085	http://de.wikipedia.org/wiki/Fritz_Hampel	77	2.57	5744	664
http://d-nb.info/gnd/127303022		0	0	0	0
http://d-nb.info/gnd/118786857	http://de.wikipedia.org/wiki/Liam_O%E2%80%99Flaherty	179	5.97	8963	1058
http://d-nb.info/gnd/118645404	http://de.wikipedia.org/wiki/Joseph_Antz	41	1.37	3515	446
http://d-nb.info/gnd/10235085X		0	0	0	0
http://d-nb.info/gnd/13209889X		0	0	0	0
http://d-nb.info/gnd/118523325	http://de.wikipedia.org/wiki/Franz_Dahlem	312	10.4	8229	957
http://d-nb.info/gnd/126970912		0	0	0	0
http://d-nb.info/gnd/118169521	http://de.wikipedia.org/wiki/George_Souli%C3%A9_de_Morant	73	2.43	11830	1490
http://d-nb.info/gnd/118785796	http://de.wikipedia.org/wiki/Hans_Nawiasky	108	3.6	6930	778
http://d-nb.info/gnd/118533061	http://de.wikipedia.org/wiki/Werner_Finck	1196	39.87	14522	1765
http://d-nb.info/gnd/126428050		0	0	0	0
http://d-nb.info/gnd/128332727		0	0	0	0
http://d-nb.info/gnd/118516574	http://de.wikipedia.org/wiki/Nikolai_Iwanowitsch_Bucharin	1121	37.37	48480	6075
http://d-nb.info/gnd/127376909	http://de.wikipedia.org/wiki/Edward_Strutt	41	1.37	3695	481
http://d-nb.info/gnd/116504889		0	0	0	0
http://d-nb.info/gnd/118682644	http://de.wikipedia.org/wiki/Franz_Eulenburg	66	2.2	4040	425
http://d-nb.info/gnd/111095131		0	0	0	0
http://d-nb.info/gnd/118577638	http://de.wikipedia.org/wiki/Herbert_Marcuse	2942	98.07	19153	2263
http://d-nb.info/gnd/118630245	http://de.wikipedia.org/wiki/Erich_Weinert	1013	33.77	11725	1397
http://d-nb.info/gnd/116995483		0	0	0	0
http://d-nb.info/gnd/118797220	http://de.wikipedia.org/wiki/Ignazio_Silone	1529	50.97	11293	1455
http://d-nb.info/gnd/101676506		0	0	0	0
http://d-nb.info/gnd/102606935		0	0	0	0
http://d-nb.info/gnd/126890935		0	0	0	0
http://d-nb.info/gnd/119482649	http://de.wikipedia.org/wiki/Nathan_Steinberger	71	2.37	4101	471
http://d-nb.info/gnd/126563608		0	0	0	0
http://d-nb.info/gnd/116106387		0	0	0	0
http://d-nb.info/gnd/126126747		0	0	0	0
http://d-nb.info/gnd/118546554	http://de.wikipedia.org/wiki/Jaroslav_Ha%C5%A1ek	1078	35.93	7704	986
http://d-nb.info/gnd/12765822X		0	0	0	0
http://d-nb.info/gnd/118705660	http://de.wikipedia.org/wiki/Edwin_Hoernle	228	7.6	8460	973
http://d-nb.info/gnd/126564396		0	0	0	0
http://d-nb.info/gnd/118540556	http://de.wikipedia.org/wiki/Claire_Goll	599	19.97	5080	606
http://d-nb.info/gnd/126817987		0	0	0	0
http://d-nb.info/gnd/10777898X		0	0	0	0
http://d-nb.info/gnd/101867867		0	0	0	0
http://d-nb.info/gnd/118778242	http://de.wikipedia.org/wiki/Alexander_Iwanowitsch_Kuprin	1032	34.4	9178	1146
http://d-nb.info/gnd/155668552		0	0	0	0
http://d-nb.info/gnd/126128715		0	0	0	0
http://d-nb.info/gnd/117226726	http://de.wikipedia.org/wiki/Maximilian_Schick	40	1.33	2160	232
http://d-nb.info/gnd/123579937		0	0	0	0
http://d-nb.info/gnd/126755620		0	0	0	0
http://d-nb.info/gnd/126196478		0	0	0	0
http://d-nb.info/gnd/107043580		0	0	0	0
http://d-nb.info/gnd/101693761		0	0	0	0
http://d-nb.info/gnd/119054329	http://de.wikipedia.org/wiki/Hans_M%C3%BCller-Einigen	207	6.9	11484	1385
http://d-nb.info/gnd/118682636	http://de.wikipedia.org/wiki/Herbert_Eulenberg	354	11.8	25344	2917
http://d-nb.info/gnd/100366988		0	0	0	0
http://d-nb.info/gnd/118597825	http://de.wikipedia.org/wiki/Leonhard_Ragaz	277	9.23	13015	1632
http://d-nb.info/gnd/118540564	http://de.wikipedia.org/wiki/Yvan_Goll	468	15.6	7428	876
http://d-nb.info/gnd/118660179	http://de.wikipedia.org/wiki/Louis_Bromfield	302	10.07	8301	993
