Hardock, Georg	http://d-nb.info/gnd/126368767
Amann, Paul	http://d-nb.info/gnd/102167109, http://d-nb.info/gnd/116296763
Kaiser, Julius	http://d-nb.info/gnd/101362544, http://d-nb.info/gnd/11609012X, http://d-nb.info/gnd/1013072650, http://d-nb.info/gnd/1015802877
Bierbaum, Otto Julius	http://d-nb.info/gnd/118510762, http://d-nb.info/gnd/1014122163
Schramm, Wilhelm von	http://d-nb.info/gnd/118610627, http://d-nb.info/gnd/160482747
Melcer, Wanda	http://d-nb.info/gnd/12730293X, http://d-nb.info/gnd/1017871124
Serner, Walter	http://d-nb.info/gnd/118764764, http://d-nb.info/gnd/177399813
Peting, Reinhold	http://d-nb.info/gnd/131081039
Rosenbaum, Eduard	http://d-nb.info/gnd/101968442, http://d-nb.info/gnd/116621583
Luedersdorf, Erwin	
Adler, Georg	http://d-nb.info/gnd/101619286, http://d-nb.info/gnd/116008067, http://d-nb.info/gnd/116008075, http://d-nb.info/gnd/132323877, http://d-nb.info/gnd/132345684, http://d-nb.info/gnd/1027333060
Domela Nieuwenhuis, Ferdinand	http://d-nb.info/gnd/118942034, http://d-nb.info/gnd/187119597
Glaukos, 	
Frank, Leonhard	http://d-nb.info/gnd/118534793, http://d-nb.info/gnd/131599518, http://d-nb.info/gnd/160144914, http://d-nb.info/gnd/174062176, http://d-nb.info/gnd/1017430446, http://d-nb.info/gnd/1037518098
Lapin, Boris	http://d-nb.info/gnd/119000415, http://d-nb.info/gnd/126765359
Jacob, Heinrich Eduard	http://d-nb.info/gnd/118835327, http://d-nb.info/gnd/160067421, http://d-nb.info/gnd/160390621
Sender, Ramón Julio	
Freuchen, Peter	http://d-nb.info/gnd/118693166, http://d-nb.info/gnd/175538158
Schuman, Frederick L.	http://d-nb.info/gnd/127932038, http://d-nb.info/gnd/187610193
Alfred, Adler	
Prehn von Dewitz, Hans	http://d-nb.info/gnd/131110918
Hentschel, Herbert	http://d-nb.info/gnd/105121932, http://d-nb.info/gnd/172815932
Hausmann, Raoul	http://d-nb.info/gnd/118547143, http://d-nb.info/gnd/160716004
