http://d-nb.info/576252271	Du sollst töten ...!	http://d-nb.info/gnd/12654879X	
http://d-nb.info/574219781	Der Kampf für den Sturz der faschistischen Regierung Hitler-Papen-Hugenberg		
http://d-nb.info/99272578X	Our street	http://d-nb.info/gnd/118762796	http://d-nb.info/gnd/106973568
http://d-nb.info/576746967	Was geschieht morgen?	http://d-nb.info/gnd/126897794	
http://d-nb.info/992926777	Zwei Deutsche	http://d-nb.info/gnd/11862685X	
http://d-nb.info/99332603X	Jüdische Politik	http://d-nb.info/gnd/116985798	
http://d-nb.info/579128237	Aus Adolf Hitlers Kinderzeit	http://d-nb.info/gnd/10559265X	http://d-nb.info/gnd/123619157
http://d-nb.info/578449463	Ein Schweizer erlebt Deutschland	http://d-nb.info/gnd/129113557	
http://d-nb.info/993456383	Wie lebt der Sowjet-Landarbeiter?		
http://d-nb.info/575563001	Das personalistische Manifest	http://d-nb.info/gnd/118801112	
http://d-nb.info/574901949	Die russische März-Revolution 1917	http://d-nb.info/gnd/126657440	http://d-nb.info/gnd/126647542
http://d-nb.info/574760644	Die Abtreibung der Leibesfrucht	http://d-nb.info/gnd/118542710;http://d-nb.info/gnd/118597582	
http://d-nb.info/103018769X	Die Wahrheit über den Reichstagsbrand		
http://d-nb.info/572388411	Die Friedensziele unseres Gottes nach der Heiligen Schrift		
http://d-nb.info/574848428	Menschen auf der Flucht	http://d-nb.info/gnd/126602794	
http://d-nb.info/574541268	Am Rande der Nacht	http://d-nb.info/gnd/11913067X	
http://d-nb.info/361726961	Die Russin	http://d-nb.info/gnd/128740000	
http://d-nb.info/578463806	Jean Lioba, Priv. Doz., oder d. Geschichte mit d. Regulator	http://d-nb.info/gnd/105837237	
http://d-nb.info/572901801	Im Lande der Rekordzahlen	http://d-nb.info/gnd/126317461	http://d-nb.info/gnd/126280495
http://d-nb.info/573551308		http://d-nb.info/gnd/105740640	
http://d-nb.info/576167851	Seele und Schicksal Italiens	http://d-nb.info/gnd/119338041	http://d-nb.info/gnd/116712864
http://d-nb.info/578494469	Chiropraktik, ihre Anwendung und Ausführung	http://d-nb.info/gnd/105131660	
http://d-nb.info/575067845	Mehr Bibelkenntnis!	http://d-nb.info/gnd/106610368	
http://d-nb.info/364978104	Energie, Planwirtschaft und Sozialismus	http://d-nb.info/gnd/128254866	
http://d-nb.info/57831679X	Ein Kumpel	http://d-nb.info/gnd/133794156	
http://d-nb.info/58077841X	Antisemitismus als Angriff auf die Seele	http://d-nb.info/gnd/126886180	
