row,titleChunks,authorChunks,titleGND,title,completeWorks,ssFlag,authorFirstname,authorLastname,authorPseudonym,authorFullname,firstEditionPublisher,firstEditionPublicationYear,firstEditionPublicationPlace,secondEditionPublisher,secondEditionPublicationYear,secondEditionPublicationPlace,authorGND,authorGND2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
66,Done,Done,http://d-nb.info/362938431,Die slowenische Volksgruppe in Kärnten,,false,Theodor,Veiter,,Theodor Veiter,Reinhold-Verlag,1936,Wien,Reinhold-Verlag,1936,Wien,http://d-nb.info/gnd/11916728X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Done,Done,http://d-nb.info/574141804,Fronterinnerungen eines Pferdes,,false,Ernst,Johannsen,,Ernst Johannsen,Fackelreiter-Verlag,1929,Hamburg,Fackelreiter-Verlag,1929,Hamburg,http://d-nb.info/gnd/101877935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,Done,http://d-nb.info/992875595,"Spruch, Der ~ von London. Der Reichstagsbrand im Spiegel des Urteils ...",,false,,,,,L. Twrdik,1933,Prag,L. Twrdik,1933,Prag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Done,1,,Sämtliche Schriften,1,false,Schalom,Asch,,Schalom Asch,,,,,,,http://d-nb.info/gnd/118646036 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,Done,http://d-nb.info/573952590,Betriebsräte u. Arbeitsgerichtsgesetz,,false,Ernst,Fraenkel,,Ernst Fraenkel,Laub,1927,Berlin,Laub,1927,Berlin,http://d-nb.info/gnd/118534602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Done,Done,http://d-nb.info/573286809,Prinz Kuckuck,,false,Otto Julius,Bierbaum,,Otto Julius Bierbaum,Georg Müller,1922,München,Georg Müller,1922,München,http://d-nb.info/gnd/118510762,,http://d-nb.info/gnd/117231126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Done,Done,http://d-nb.info/57472107X ,Volkstümliche Einführung in das Marx-Studium,,false,Paul,Fischer,,Paul Fischer,Dietz,1922,Stuttgart,Dietz,1922,Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Done,Done,http://d-nb.info/572719728,Die sozialen Ausbeutungssysteme,,false,Otto,Ehinger,,Otto Ehinger,Reinhardt,1912,München,Reinhardt,1912,München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Done,Done,http://d-nb.info/57525260X,Lehrbuch der deutschen Sprache,,true,0. N.,Nikonowa [Nikonova],,0. N. Nikonowa [Nikonova],Staatsverlag für Lehrbücher,1940,Leningrad,Staatsverlag für Lehrbücher,1940,Leningrad,http://d-nb.info/gnd/110182774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Done,Done,http://d-nb.info/36102603X,Einzeltod — Völkertod,,false,Paul,Kammerer,,Paul Kammerer,Anzengruber,1918,Wien,Anzengruber,1918,Wien,http://d-nb.info/gnd/116036028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Done,Done,http://d-nb.info/574505776,Die Kriminalpolitik der Sowjetmacht,,false,Nikolai W.,Krylenko,,Nikolai W. Krylenko,Verlag f. Lit. u. Politik,1927,Berlin,Verlag f. Lit. u. Politik,1927,Berlin,http://d-nb.info/gnd/121672026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Done,Done,http://d-nb.info/368404625 ,Wie lange noch konfessionelle Spaltung in Deutschland?,,false,Josef,Teusch,,Josef Teusch,Bachem,1934,Köln,Bachem,1934,Köln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Done,Done,,,,false,,"Klaus, Grenadier [Pseud.] s. Kraft, Wilhelm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Done,1,,Sämtliche Schriften,1,false,Richard,Lipinski,,Richard Lipinski,,,,,,,http://d-nb.info/gnd/101422202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
