row	authorFirstname	authorLastname	 X	GND	preferredName	yearOfBirth	yearOfDeath	placeOfBirth	placeOfDeath	professionOrOccupation	foaf_page	
53	Claus	Eichen	 	http://d-nb.info/gnd/116311088	Angeluscheff, Schiwko	1897	 	 	 	Arzt | Chirurg	 	Pseudonym
69	Schalom	Asch	 	http://d-nb.info/gnd/118646036	Asch, Sholem	1880	1957	Kutno	London	Schriftsteller	http://de.wikipedia.org/wiki/Schalom_Asch	DifferentiatedPerson
79	Richard	Lipinski	 	http://d-nb.info/gnd/101422202	Lipinski, Richard	1867	1936	 	 	Politiker	http://de.wikipedia.org/wiki/Richard_Lipinski	DifferentiatedPerson
89	Max Moritz	Hofmann	 									
101	Heinrich	Putzner	 									
119	Friedrich	Engels	 	http://d-nb.info/gnd/109945646	Engels, Friedrich Eugen	1909	1994	 	 	Sänger | Tenor <Sänger> | Unternehmer	http://de.wikipedia.org/wiki/Friedrich_Eugen_Engels	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/121032043	Engels, Friedrich	 	 	 	 	 	 	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/118530380	Engels, Friedrich	1820	1895	Barmen	London	Unternehmer | Philosoph | Politiker	http://de.wikipedia.org/wiki/Friedrich_Engels	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/189506512	Engels, Friedrich <der Ältere>	 	 	 	 	 	 	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/1019742658	Engels, Friedrich Karl	1718	1765	 	Den Haag	 	 	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/125228252	Engels, Johann Friedrich Martin	 	 	 	 	 	 	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/123495911	Engels, Friedrich	1796	1860	 	 	Unternehmer	http://de.wikipedia.org/wiki/Friedrich_Engels_%28Fabrikant%29	DifferentiatedPerson
119	Friedrich	Engels	 	http://d-nb.info/gnd/137700199	Engels, Friedrich	1790	1855	 	 	Generalmajor | Kommandant	 	DifferentiatedPerson
120	Christa	Winsloe	 	http://d-nb.info/gnd/119555360	Winsloe, Christa	1888	1944	Darmstadt	Cluny	Schriftstellerin | Dramatikerin | Bildhauerin	http://de.wikipedia.org/wiki/Christa_Winsloe	DifferentiatedPerson
127	Paul	Hilke	 									
135	Alma	Mahler	 	http://d-nb.info/gnd/11857633X	Mahler-Werfel, Alma Maria	1879	1964	Wien	New York, NY	Komponistin | Künstlerin	http://de.wikipedia.org/wiki/Alma_Mahler-Werfel	DifferentiatedPerson
137	Gregor	Bienstock	 	http://d-nb.info/gnd/101819943	Bienstock, Gregory	1885	1954	 	 	 	 	DifferentiatedPerson
