forename	surname	authorFirstname	authorLastname
Hans	Bernoulli		
Paul Daniel	Bernoulli		
Alfred	Bernstein		
Eduard	Bernstein		
F.	Bernstein		
Johann Heinrich	Bernstorff		
Johann Heinrich Graf	Bernstorff		
Sergej K.	Besborodow		
Grigory	Bessedowsky		
Ernst Heinrich	Bethge		
Fritz Ernst	Bettauer		
Hugo	Bettauer		
Albert	Bettex		
Hubert	Beuve-Méry		
Alfred	Beyer		
Friedrich	Beyer		
Georg	Beyer		
Helene	Beyer		
Fritz	Beyes		
Chajim Nachman [Hajjim Nahaman]	Bialik		
Max	Biber		
Lothar	Bickel		
Werner	Bieder		
Hans	Biefang		
Karl	Biegi		
Käte	Biel		
Gregor	Bienstock		
Otto Julius	Bierbaum		
W. Bruno	Bierbaum		
Jack	Bilbo		
Karl	Billinger		
R.	Billung		
Fritz	Binde		
Ernst	Bindel		
Heinrich	Binder		
Friedrich	Birk		
Guenther	Birkenfeld		
Johannes R.	Birlinger		
Dietrich	Bischoff		
Demian	Bjedny		
G.	Bjelych		
L.	Pantelejew		
Robert	Blache		
Stella	Blagojewa		
Herbert	Blank		
Matthias	Blank		
Alfred	Blaschko		
Franz	Blei		
Camille	Bloch		
Chajim	Bloch		
Ernst	Bloch		
Iwan	Bloch		
Georg	Löwenstein		
Walter	Bloem		
Harry	Blomberg		
André	Blomjous		
Georges	Blondel		
Anna	Blos		
Wilhelm	Blos		
Léon	Bloy		
Hans	Blueher		
Ludwig	Bluemcke		
Kurt	Kaiser-Blüth	Kurt Kaiser	Blueth s. Kaiser-Blüth
Edmund	Blum		
Klara	Blum		
Léon	Blum		
Elena	Bobinska		
Cecilija S.	Selikson-Bobrowskaja		Bobrowskaja, Z. Selikson s. Selikson-Bobrowskaja.
August	Bock		
Wilhelm	Bock		
Peter	Bockemühl		
Fritz	Bodinus		
Karl	Boechel		
Franz	Boegler		
Felix	Boehm		
Otto	Fenickel		
Wilhelm	Reich		
Margarete	Boehme		
Wilhelm	Boerner		
Friedrich Karl	Boesser		
Nikolai	Bogdanow		
Helena	Boguszewska		
Jerzy	Kornacki		
Sinaida	Bojarskaja		
Hector	Bolitho		
Johannes	Bolte		
Marie	Bonaparte		
P.	Bonaventura		
Harry Winfield	Bondegger		
Hans	Bongardt		
Edgar	Bonjour		
Georg	Bonne		
Josephe Ch.	Bonnier		
Julian	Borchardt		
Rudolf	Borchardt		
Karl Friedrich	Borée		
Augustinus	Borer		
Giuseppe Antonio	Borgese		
Guiseppe Antonio	Borgese		
Georg	Born		
Ferdinand	Bornemann		
Josef	Bornstein		
Ber	Borochow		
L. F.	Boros		
Adolf Karl Emil	Borstendoerfer		
R.	Fidus		Bosch-Fidus
C. Az.	Bottema		
Phyllis	Bottome		
L. B.	Boudin		
Suzanne	Bouillet		
Paul	Bousfield		
Frédéric	Boutet		
Tadeusz	Žieleński		Boy [d. i.] Tadeusz Želeński
Annie von	Brabenetz		
Helmut von	Bracken		
Robert A.	Brady		
Walter	Braeuer		
Karl	Brammer		
Renée	Brand		
E.	Brand		Brand, E., u. H. Walecki
H.	Walecki		
Egon	Branden		
August	Brandt		
Heinrich	Brandt		
Paul	Brandt		
Pierre de Bourdeille de	Brantôme		
Siegfried	Brase		
J.	Bratkowski		
Peter	Bratschi		
Erwin	Brauer		
Max Friedrich Julius	Brauer		
Peter	Brauer		
Adolf	Braun		
Alfred	Braun		
Heinz	Braun		
Lily	Braun		
Matthias	Braun		
Otto	Braun		
Rudolf	Braune		
Walter	Brauns		
Alfred	Braunthal		
Fr.	Brecher		
Bertold	Brecht		
Willi	Bredel		
Klaus	Bredow		
Richard	Bredow		
Karl	Brehm		
Artur	Brehmer		
Fritz	Brehmer	Fritz	Brehmer (Bremer)
Ernst	Breit		
Josef	Breitbach		
Desiderius	Breitenstein		
Erhard, Dr.	Breitner		
Rudolf	Breitscheid		
Fritz	Brehmer		Bremer, Fritz s. Brehmer, Fritz.
Arvid	Brenner		
Emil	Brenner		
Paul Ad.	Brenner		
Hans	Brennerburg		
Bernard von	Brentano		
Wolfgang	Bretholz		
Rudolf	Brettschneider		
Bessie	Breuer		
Lothar	Brieger		
Theodosius	Briemle		
Robert	Briffault		
Robert Heinz	Brigg		
Pierre	Guénolé		Brins de verges
Eduard	Bristler		
Marco	Brociner		
Ferdinand	Brockes		
Carl	Brockhausen		
Lambert	Brockmann		
Max	Brod		
Otto	Brod		
Max Brod	Brod		Brod, Max, u. Rudolf Thomas
Rudolf	Thomas		Brod, Max, u. Rudolf Thomas
Rudolf	Broda		Broda, Rudolf, u. Jul. Deutsch
Jul.	Deutsch		Broda, Rudolf, u. Jul. Deutsch
Johannes	Brodauf		
Richard	Broehmek		
Vera	Broido		
Louis	Bromfield		
Arnolt	Bronnen		
Robert H.	Brotz		
John	Brown		
Sidney H.	Brown		
William Montgomery	Brown		
Fritz	Bruegel		
Fritz u. Benedikt Kautsky	Bruegel		
Ludwig	Bruegel		
Max A. R.	Bruenner		
Cornelius J. A. van	Bruggen		
Julius	Bruhns		
Theodor	Brun		
Vincenz	Brun		
Hans	Bruneck		
Robert	Brunhuber		
Emil	Brunner		
Julius C	Brunner		
Julius C.	Brunner		
Konstantin	Brunner		
Rudolf	Brunngraber		
Ruth Mack	Brunswick		
Fritz	Brupbacher		
Paulette	Brupbacher		
Martin	Buber		
Nicolai von	Bubnoff		
A.	Bubnow		
Nikolaj Ivanovič	Bucharin		
Herbert	Buchlohe		
Georg	Buchner		
Hermann	Buddensieg		
Gustav	Buder		
Robert	Budzinski		
Hermann	Budzislawski		
Hermann	Bueeler		
Johannes	Buehler		
Klaus	Buehler		
Paul	Buehler		
Karl	Buehren		
Jakob	Buehrer		
Friedrich	Buerger		
Kurt	Buerger		
Kurt	Buerschaper		
Hermann	Bues		
Philipp	Bugeinig		
Pierre	Buk		
M.	Bulle		
Ferdinand	Buomberger		
Philippe	Buonarrotti		
Felix	Burger		
Hans	Burger		
Erich	Hamburger		Burger, Felix [Pseud.] s. Hamburger, Erich.
Karl	Singer		Burger, Felix, u. Karl Singer
Hans Georg	Burghardt		
Kurt Clemens	Burkert		
William	Burkhard		
Paul	Burkhardt		
Jos.	Burrhus		
Fritz Otto	Busch		
Wilhelm	Busch-Essen		
Hiram E.	Butler		
Karl	Buttenstedt		
Dorothy Frances	Buxton		
Heinz Alfred	Byern		
Artur	Byhan		
Pawel	Bytschkow		
Eugenij S.	Bywalow		
Marcel	Cachin		Cachin, Marcel, Maurice Thorez u. Andre Marty
Maurice	Thorez		Cachin, Marcel, Maurice Thorez u. Andre Marty
Andre	Marty		Cachin, Marcel, Maurice Thorez u. Andre Marty
Edith	Cadivec		
S. Parkes	Cadman		
Fritz Max	Cahen		
James M.	Cain		
B.	Calmon		
Victor Fr.	Calverton		
Richard	Calwer		
Karel	Čapek		
Clemens von	Caramon		
Ernst	Carl		
Esriel Gotthelf	Carlebach		
Josef	Carlebach		
Kurt	Caro		Caro, Kurt, u. Walter Oehme
Walter	Oehme		Caro, Kurt, u. Walter Oehme
Edward	Carpenter		
Robert	Carr		
A.	Carraro		
Ludwig	Carriére		
Raymond	Cartier		
Henri de	Kerillis		Cartier, Raymond s. Kerillis, Henri de
Theodor	Cassau		
Alexander	Castell		
H.	Cawil		
Blaise	Cendrars		
John W.	Chadwick		
Ben	Chaim		Chaim, Ben s. Ben Chaim.
Alain	Chanteroy		
Abraham	Charasch		
N.	Charitonow		
Wang Shih	Chêng		
Rafail	Chitarov		
Hans	Chlumberg		
Wilhelm August Friedrich	Chmara		
Chmara	Razumovič		Chmara, Vjačeslav Razumovič- s. Razumovič-Chmara.
Josef	Chmelar		
Maryse	Choisy		
Hans	Christiansen		
Winston S.	Churchill		
Oskar Walter	Cisek		
Walter	Citrine		
Walter, Sir	Citrine		
R. T.	Clark		
Pierre	Claude		
Paul	Claudel		
Michael	Mueller-Claudius		Claudius, Michael Mueller- s. Mueller-Claudius.
John	Cleland		
Frantz 	Clément		Clément, Frantz, Mondorf, Luxemburg
Martin <von Cochem>			Cochem
Hubert	Coenen		
Wilhelm	Coermann		
Emil	Cohn		
Emil Bernhard	Cohn		
Willy	Cohn		
Carl	Colbert		
A. J.	Coldfire		
Will L.	Comfort		Comfort,Will L.,u. Zamin Ki Dost
Zamin	Ki Drost		Comfort,Will L.,u. Zamin Ki Dost
Adolf	Conrad		
Alexander	Conrady		
Jack	Conroy		
Claude	Constant		
G.	Contreras		
Albert	Coppenrath		
Otto	Corbach		
Kurt	Corrinth		
Otto von	Corvin-Wiersbitzki		
Otto von	Corvin-Wiersbitzky		
Heinrich	Coudenhove-Kalergi		
Richard Nikolaus	Coudenhove-Kalergi		
H.	Couillard		
Walter	Cramm		
Claude Pr. J. de	Crébillon	Claude Pr. J. de	Crébillon (der Jüngere)
Karl A.	Credé(-Hoerder)		
August	Creutzburg		
Arthur	Crispien		
Joseph	Crozier		
Margaret	Csaba		
Franz Theodor	Csokor		
Th.	Cudgel		Cudgel, Th.
Oscar	Cullmann		
Heinrich	Cunow		
Carsten	Curator		
Eve	Curie		
Arthur	Curti		
Artur	Curti		
Erich	Czech-Jochberg		
Emmerich	Czermak		Czermak, Emmerich, u. Oskar Karbach
Oskar	Karbach		Czermak, Emmerich, u. Oskar Karbach
Ernst A.	Czerwonka		
Eugène	Dabit		
Franz	Dahlem		
C. D.	Daly		
Georg	Damelang		
Erich	Dammann		
Theodor	Dan		
Alfred	Dang		
Robert	Danneberg		
Hermann	Dannenberger		
Hermann	Dannert		
Karl	Dantz		
Heinrich Peter	Danzebrink		
S.	Daszynski		Daszynski, S., u. Jan Radopolski
Jan	Radopolski		Daszynski, S., u. Jan Radopolski
Albert	Daudistel		
Marie Renée	Daumas		
Eduard	David		
F.	David		
Hendrik	De Leeuw		
Johann Friedrich	Deck		
Georg	Decker		
W.	Degtjarjew		
Heinrich	Dehmel		
Richard	Dehmel		
Günther	Dehn		
Berthold von	Deimling		
Maurits	Dekker		
Maurice	Dekobra		
Friedrich	Delekat		
Maximilian	Delmar		
Joseph	Delmont		
Henri	Demont		
Robert	Dencker		
	Deng-Bao-Sjang		
Adolf	Dessauer		
Friedrich	Dessauer		Dessauer, Friedrich, u. Franz C. Fetzer
Franz C.	Fetzer		Dessauer, Friedrich, u. Franz C. Fetzer
Louis	Destouches		
Rolf	Detert-Faust		
Fritz	Deubner		
	Deuter		
Agnes	Deutsch		
Helene	Deutsch		
Julius	Deutsch		
Otto	Deutsch		
Regine	Deutsch		
U. R.	Deutsch		
Kapitän	Deverreux		
Herbert	Dewald		
Ludwig	Dexheimer		
Gertrud	Diamant		
José	Diaz		
Otto	Dibelius		
Hermann	Dicker		
John 	Dickson Carr		Dickson [d. i. John Dickson Carr]
John 	Dickson Carr		Dickson, Carter [Pseud.] s. Carr, John Dickson.
Bernhard	Diebold		
Ludwig	Diehl		
Manfred	Diemer		
Christoff	Dietrich		
P. R.	Dietrich		
Paul Johann	Dietrich		
Marigret	Dietz		
Josef	Dietzgen		
Karl	Diez		
Heinrich Georg	Dikreiter		
Erhard	Dill		
Johann	Dill		
Josef	Dillersberger		
Georgi	Dimitroff		
Paul	Diner-Dénes		
Tibor	Diószeghy		
Wilhelm	Dittmann		
Otto	Dix		
Kurt	Doberer		
Eitel Wolf	Dobert		
Martha Eccles	Dodd		
Arnold	Dodel		
Alfred	Doeblin		
Emma	Doeltz		
Emil	Doenges		
