forename	surname	authorFirstname	authorLastname
Ernst	Friedrich	Ernst [sozialist. Schriftsteller]	
G.	Friedrich		
Otto	Friedrich		
Louise Sophie, Prinzessin v. Preussen			Friedrich Leopold of Prussia, Princess s. Louise Sophie, Prinzessin v. Preussen.
G.	Friedrich		Friedrich, G. [Hrsg.]
Hartvig	Frisch		
Paul	Frischauer		
Willi	Frischauer		
Willi (Wilhelm Friedrich)	Frischauer		
Jolly	Fritsch		
Wilhelm	Fritz		
Paul	Froelich		
Paul	Froelich, Paul, u. Albert Schreiner		Froelich, Paul, u. Albert Schreiner
Albert	Schreiner		Froelich, Paul, u. Albert Schreiner
Kurt	Froer		
Jakob	Fromer		
Erich	Fromm		
Berthold	Frucht		
Albert	Ehrismann		Frueh, Kurt s. Ehrismann, Albert
Eduard	Fuchs		
Georg	Fuchs		
Martin	Fuchs		
Richard	Fuchs		
Rudolf	Fuchs		
Theodor, Dr. jur.	Fuchs		
Kurt	Fuegner		
René	Fueloep-Miller		
Hans	Fuelster		
Louis	Fuernberg		
Kurt	Fueting		
Dimitri	Furmanow		
Andor	Gabor		
Hans Jürgen	Gadow		
Franziska von	Gaertner		
Georg	Gaertner		
Michael	Galeatus		
Boris	Galin		
Ch.	Gallaton		
Sophie Dorothea	Gallwitz		
Paul	Gangolf		
Hugo	Ganske		
D.	Garai		
Geoffrey Theodore	Garrat		
Waclaw	Gasiorowski		
Adolf	Gasser		
Emil	Gast		
Hans	Gattiker		
Ketty	Gattmann		
Hermann	Gauch		
Dimitrj	Gawronsky		
Erich	Gebhardt		
Florentine	Gebhardt		
Hans	Gebser		
Gustav Adolf	Gedat		
George Eric Rowe	Gedye		
Tully	Gehren		
Emmy	Gehrig		
Anni	Geiger-Gog		
Friedrich	Geissler		
Rudolf	Geist		
Marta	Geldmacher		
Wilhelm	Gelfius		
Wilhelm	Geliert		
Kurt	Gellert		
Richard	Gellner		
Richard	Gelmer		
Robert	Genin		
Abram B.	Genss		
Eugen	Georg		
Iwan Eugen	Georg		
Manfred	Georg		
G. J.	George		
Georges	Anquetil		Georges-Anquetil
Artur	Gerber		
Emil	Gerber		
Gustav	Gerbert		
Wilhelm	Gerdemann		Gerdemann, Wilhelm, u. Heinrich Winfried
Heinrich	Winfried		Gerdemann, Wilhelm, u. Heinrich Winfried
Georgine	Gerhard		
Hellmut von	Gerlach		
Irene	Gerlach		
Kurt	Gerlach		
Reinhold	Gerling		
Giovanni	Germanetto		
Walter	Layton		Germanicus
Hans Jakob	Gerster		
Hans	Gerstmayer		
Albin Walter	Gerstner		
H.	Gerversman		
Herbert	Gerwig		
Kurt	Geucke		
Kurt	Geyer		
Rudolf	Geyer		
Paul	Geyser		
Augusto	Giacometti		
Eduard	Gibbon		
Floyd	Gibbons		
Philip	Gibbs		
Johannes	Gickler		
André	Gide		
Jedrzej	Giertych		
Fritz	Giese		
Konrad	Giesecke		
Hubert Ernst	Gilbert		
Fred	Gildhorn		
Louis	Gillet		
Emando	Gimani		
Jean	Giono		
Fritz	Giovanoli		
Jean	Giraudoux		
Valentin	Gitermann		
Fritz	Gitta		
Ernesto	Giudici		
Fjodor	Gladkow		
Ernst	Glaeser		
Fritz Hermann	Glaeser		
Wolfgang	Glaesser		
August Frank	Glahn		
Betty	Glan		
Georg	Glaser		
Waldemar	Glaser		
Max	Glass		
	Glaukos		
Friedrich	Glauser		
Maria	Gleit		
Franz	Glienke		
Otto	Gloeckel		
Friedrich	Glombowski		
Sami	Gluecksmann		
Hanns	Gobsch		
Claude	Godard d'Aucourt		
Hans	Goebel		
Wilhelm	Goebel		
Hubert	Goebels		
Paul	Goehre		
Josef M.	Goergen		
Bernhard	Goertz		
Heinrich	Goettler		
Bruno	Goetz		
Wolfgang	Goetz		
Peter	Goetze		
Wilhelm	Gohr		
Michael	Gold		
Carl	Goldammer		
Erich	Goldbaum		
Louis	Golding		
Lothar	Goldman		
Otto	Goldmann		
Rudolf	Goldscheid		
Alfons	Goldschmidt		
Leonor	Goldschmied		
Claire	Goll		
Iwan	Goll		
T.	Gonta		
Ch.	Gordon		
Camille	Gorgé		
Maxim	Gorki		
Artur	Górski		
Hermann	Gorter		
Klement	Gottwald		
Alfred	Grabe		
Gustav Hans	Graber		
Adolf	Grabowski		
Georg Engelbert	Graf		
Oskar Maria	Graf		
Kurt	Grape-Dewischeit		
Heinrich	Grasshoff		
Peter	Grassmann		
J. D.	Gregory		
Walter	Greiling		
John	Greis		
A.	Greischman		
M. A.	Gremjatzki		
Horst	Gretzschel		
Hermann	Greulich		
Mario	Gridazzi		
Franz	Griese		
Hans	Griese		
G. A.	Grigoriew		
S.	Grigorjeff		
Tatjana	Grigorovici		
Albert	Grimm		
Alfred Max	Grimm		
Bruno	Grimm		
G. F.	Grinko		
Erich	Grisar		
Rudolf	Grob		
Rudolf Ernst	Grob		
Georg	Groddeck		
Klaus von der	Groeben		
Karl	Groehl		
Heinrich	Groenewald		
August	Groer		
Bernhard	Groettrup		
Robert	Groetzsch		
Robert	Groetzsch	Robert Gottlieb	Groetzsch
Georg	Groha		
Melchior	Grohe		
Will	Grohmann		
W.	Gromann		
Arthur	Gross		
Hermann	Grosse		
Johannes	Grosse		
Henryk	Grossmann		
Kurt	Grossmann		
Rudolf	Grossmann		
Rudolf [Sozialist. Schriftsteller]	Grossmann		
Stephan	Grossmann		
George	Grosz		
Viktor	Groszhammer		Groszhammer, Viktor, Kuno v. Uachitta u. Karlchen Marx
Kuno v.	Uachitta		Groszhammer, Viktor, Kuno v. Uachitta u. Karlchen Marx
Karlchen	Marx		Groszhammer, Viktor, Kuno v. Uachitta u. Karlchen Marx
Helmut	Groth		
Alfred	Grotjahn		
Alfred	Grotjahn		Grotjahn, Alfred, u. Gustav Radbruch
Gustav	Radbruch		Grotjahn, Alfred, u. Gustav Radbruch
Max von	Gruber		
Walter	Gruber		
Karl	Gruenberg		
Leo	Gruener		
H.	Gruenwald		
Salomon	Grumbach		
Peter	Grund		
Max	Grunwald		
Theodor	Gruschka		
Ilja	Grusdev		
A.	Grusius		
Albert	Grzesinski		
I. M.	Gubkin		
Kristmann	Gudmundsson		
Philip	Guedella		
Erich	Guenther		
Felix	Guenther		
Fidelis	Guenther		
Fritz	Guenther		
Hans	Guenther		
Harald	Guenther		
Herbert	Guenther		
Otto	Guenther		
Siegmund	Guggenberger		
Werner Johannes	Guggenheim		
Alexander	Guidony		
Roman	Gul		
Ery H.	Gulden		
Emil Julius	Gumbel		
Martin	Gumpert		
Leo	Gundelfinger		
John	Gunther		
Waldemar	Gurian		
Olga	Gurjan		
Arkadij	Gurland		
Fritz	Gurlitt		
Ludwig	Gurlitt		
Ernst	Gutfreund		
Johannes	Guthmann		
Franz	Gutmann		
Moritz	Gutschkow		
Johannes	Guttzeit		
Richard	Gutzwiller		
Arnold	Gysin		
Bertha	Gysin		
Ludwig	Haack		
Kurt	Haas		
Rudolf de	Haas		
Hans	Habe		
Hans	Bekessy		Habe [d. i. Bekessy]
Viktor Kurt	Habicht		
Martina	Haboeck		
Hans	Hackmack		
Hermann	Haefker		
Berthold	Haendcke		
Konrad	Haenisch		
Ernst	Haffner		
Hedwig	Hagemann-Boese		
Edmund	Hahn		
Paul	Hahn		
Edgar	Hahnewald		
Paul	Hain		
Paul	Hain		Hain Paul
Ronald	Halden		
Wilhelm	Halfmann		
Karl Otto	Halfter		
Fannina W.	Halle		
Felix	Halle		
Fred	Haller		
Martin	Haller		
Wolfgang	Hallgarten		
Wilhelm	Hambrock		
Ernst	Hamburger		
Erich	Hamburger		Hamburger  (Pseud.: Felix Burger)
Eugen	Hamm		
Otto	Hammann		
Hans von	Hammerstein	Hans v.	Hammerstein
Hans von	Hammerstein		
Bernhard	Handmann		
Gustav	Hannich		
Richard	Hannuschka		
Wilhelm	Hans		
Heinrich	Hanselmann		
Wilhelm	Hansmann		
Josef	Hanss		
Wolfram von	Hanstein		
Erik Jan	Hanussen		
Irene	Harand		
Robert d'	Harcourt		Harcourt, Robert d'
Maximilian	Harden		
Georg	Hardock		
Jacob	Haringer		
Wolfgang	Hoffmann-Harnisch		Harnisch, Wolfgang Hoffmann - s. Hoffmann -Harnisch.
Frank	Harris		
Heinz Bruno	Hart		
Stephan von	Hartenstein		
Ludwig Harter	Jacobson		Harthern, Ernst [Pseud.] s. Jacobson, Ludwig Harter
K.	Hartmann, K., u. H. Kämpf		Hartmann, K., u. H. Kämpf
H.	Kämpf		Hartmann, K., u. H. Kämpf
	Hartung		
Alexander	Hartwich		Hartwich, Alexander, Gina Kaus u. Alfred Kind
Gina	Kaus		Hartwich, Alexander, Gina Kaus u. Alfred Kind
Alfred	Kind		Hartwich, Alexander, Gina Kaus u. Alfred Kind
Theodor	Hartwig		
	Harys		
Willy	Harzheim		Harzheim
Jaroslav	Hasek		
Anton	Haselmayer		
Walter	Hasenclever		
Hans	Haserodt		
Ernst	Hauck		
Franz Ehregott	Hauptvogel		
Raoul	Hausmann		
Werner	Hauswirth		
Xavier de	Hauteclocque		
Walter	Hawel		
Julius	Hay		
Julius	Haydu		
Carlton J.	Hayes		
John	Heartfield		
Graham	Heath		Heath, Graham
Fritz	Heckert	Friedrich (Fritz)	Heckert
Fritz	Heckert		
Adolf	Hedler		
Johannes de	Heer		
Werner	Hegemann		
Trond	Hegna		
E. K.	Heidemann		
Konrad	Heiden		
Iwan	Heilbut		
Konrad	Heilig		
Karl	Heim		
Eduard	Heimann		
Erwin	Heimann		
Hugo	Heimann		
Artur	Heimburger		
Fr. B.	Hein		
Heinrich	Heine		
Thomas Theodor	Heine		
Wolfgang	Heine		
Fritz	Heinemann		
Kurt	Heinig		
Kurt	Heinrich		
Friedrich Wilhelm	Heinz		
Karl	Heinz		
Gustav	Heise		
Walter	Heitsch		
Hans	Hellbardt		
Abraham	Heller		
Artur	Heller		
Erich	Heller		
Fred	Heller		
Hermann	Heller		
Leo	Heller		
Otto	Heller		
Willy	Hellpach		
Friedrich von	Hellwald		
Gerhard	Hellwig		
F.	Helmich		
Alexander	Helphand		
Werner	Helwig		
Ernest	Hemingway		
Karl Georg	Hemmerich		
Alexander	Henderson		
Hans Otto	Henel		
Otto	Henne am Rhyn		
Christoph	Henning		
Wilhelm	Henning		
Daniel	Henry		
Ernst	Henry		
Carola	Henschke		Henschke, geb. Neher
Paulrichard	Hensel		
Herbert	Hentschel		
Gustav Reinhold	Hentschke		
Max	Herb		
Jerzy	Herdan		
Lazar	Herman		
Georg	Hermann		
Hans	Hermann		
Imre	Hermann		
Otto	Hermann		
Silvius	Hermann		
Walter	Hermannsen		
Magnus	Hermansson		
Max	Hermant		
Gertrud	Hermes		
Maria	Herport		
Erich	Herrguth		
Lotte	Herrlich		
E.	Herrmann		
Erich	Herrmann		
Immanuel	Herrmann		
Karl	Herrmann		
Max	Herrmann		
Walter	Herrmann		
Max	Herrmann-Neisse		
Kurt	Hertenstein		
Friedrich	Hertz		
Paul	Hertz		
Theodor	Hertzka		
William	Herz		
Wilhelm	Herzberg		
Alexander	Herzen		
Helmut	Herzfeld		
Wieland	Herzfelde		
Theodor	Herzl		
Wilhelm	Herzog		
André	Maurois		Herzog, Emile [wirkl. Name] s. Maurois, André
Theodor	Hespers		
Moses	Hess		
Max René	Hesse		
Johannes	Hessen		
Robert	Hessen		
Alfons	Heun		
Theodor	Heuss		
Friedrich	Hey		
Peter von	Heydebreck		
J. Joe	Heydecker		
Friedrich	Heydenau		
Fritz	Heymann		
Kurt	Heymann		
Robert	Heymann		
Walther	Heyn		
Leopold	Ehrlich-Hichler		Hichler, Leopold Ehrlich- s. Ehrlich-Hichler
Kurt	Hickethier		
Carl Paul	Hiesgen		
Dietrich von	Hildebrand		
Fred	Hildenbrandt		
Margret	Hilferding		
Rudolf	Hilferding		
Paul	Hilke		
Kurt	Hiller		
Karl	Hillmann		
Morris	Hillquit		
Paul	Hilsoe		
Hermann	Hiltbrunner		
Karl	Hinkel		
Klaus	Hinrichs		
Paul	Hinz		
Karl Jakob	Hirsch		
Leo	Hirsch		
Paul	Hirsch		
Werner	Hirsch		
E.	Hirschberg		
Herbert	Hirschberg		
Rudolf	Hirschberg-Jura		
Georg	Hirschfeld		
Hans, Dr.	Hirschfeld		
Magnus	Hirschfeld		
Paul	Hirth		Hirth, Paul, u. Eduard Daelen
Eduard	Daelen		Hirth, Paul, u. Eduard Daelen
Adolf	Hitler		
Eduard	Hitschmann		
M.	Hobohm		
Max	Hochdorf		
Guido von	Hochstaetten		
Franz	Hochstetter		
Max	Hodann		
Leonard	Hodgson	Leonard	Hodgson [Bearb.]
Karl	Hoeber		
Erich	Hoeflich		
Gustav	Hoeft		
Zeth	Hoeglund		
Wilhelm	Hoegner		
Emil	Hoellein		
Karl	Hoeltermann		
Max	Hoelz		
Edwin	Hoernle		
Rudolf	Hoesli		
Heinrich	Hoessli		
H. R.	Hoetink		
Josef	Hofbauer		
August Heinrich	Hofer		
Hans von	Hoffensthal		
Adolf	Hoffmann		
Charlotte	Hoffmann		
Otto	Hoffmann		
Richard	Hoffmann		
Wolfgang	Hoffmann-Harnisch		
Günter	Hoffmann-Steglitz		
Albert	Hofmann		
Max Moritz	Hofmann		
Hugo von	Hofmannsthal		
Arthur	Hofstetter		
Max Karl Prinz zu	Hohenlohe-Langenburg		
Ludwig	Hohl		
Johannes	Hohlfeld		
Wilhelm	Hohoff		
Harry	Holden		
Heinrich	Holek		
Arthur	Holitscher		
Michael	Hollaender		
Lothar	Holland		
Walther von	Hollander		
Istvan	Hollos		
Otto	Holmberg		
Horst	Holstein		
Detlef	Holz		
Attalus	Holzapfel		
Christian	Holzer		
Leiser Izik	Holzmann		
Walther	Homann		
Günther	Hopffe		
Max von	Horkheimer		
Richard	Horlacher		
Sydney	Horler		
Valentin	Horn		
August	Horneffer		
Eugen	Hornung		
Walter	Hornung		
Julius	Zerfass		Hornung, Walter [Pseud.] s. Zerfass, Julius [wirkl. Name]
Ödön von	Horváth	Ödön von	Horvath
Ödön von	Horváth		
Ernst Josef	Hossdorf		Hossdorf
Albert	Hotopp		
John	Houston		
Walther	Howard		
Erik	Hoyer		
Niels	Hoyer		
Ludwig Harter	Jacobson		Hoyer, Niels [Pseud.] s. Jacobson, Ludwig Harter.
G.	Friedrich		Hrsg. unter der Red. v. G. Friedrich u. F. Lang
F.	Lang		Hrsg. unter der Red. v. G. Friedrich u. F. Lang
Anfried	Lehmkuhl		Hrsg. v. Arnfried Lehmkuhl
Joseph	Antz		Hrsg. v. Joseph Antz u. Bernhard Bergmann
Bernhard	Bergmann		Hrsg. v. Joseph Antz u. Bernhard Bergmann
Ludwig v.	Ficker		Hrsg. v. Ludwig v. Ficker
Otto	Iserland		Hrsg. v. Otto Iserland
Engelbert	Huber		
Hans	Huber		
Jakob	Huber		
Albert	Hublet		
Alois	Hudal		
E.	Huebener		
Hans	Huebner		
Hermann	Huels		
Richard	Huelsenbeck		
Wilhelm	Huenermann		
Hermine	Hug-Hellmuth		
Johan	Huizinga		
Richard	Huldschiner		
Manuel	Humbert		
Paul	Humburg		
Rudolf Jakob	Humm		
Frida	Hummel		
Hugo	Huppert		
Elias	Hurwicz		
Hans	Huss		
Ray Coryton	Hutchinson		
C. Heinrich	Huter		
Aldous	Huxley		
Graf Hans	Huyn		
Dolores	Ibarruri		
Herbert	Ihering		
Horst	Ihle		
Emma	Ihrer		
Ilf	Petrow		Ilf, Ilja, und Eugen Petrow
Ilja	Petrow		Ilf, Ilja, und Eugen Petrow
Eugen	Petrow		Ilf, Ilja, und Eugen Petrow
Gustav Adolf	Ilg		
Wilhelm	Ilgenstein		
Wassili	Iljenkow		
Ivan Aleksandrovič	Iljin		
M.	Iljin		
A.	Iljin-Schenjewski		
Bela	Illes		
Konrad	Illi		
Martin	Ilsen		
Hugo	Iltis		
Paul	Immendorf		
Vera	Inber		
Robert	Ingrim		
L.	Insterberg		
Iris	Ira		Ira, Iris (Pseud.)
Joseph	Iremaschwili		
Ernst	Iros		
Alexander A.	Isbach		
Ludwig	Isenheim		
Otto	Iserland		Iserland, Otto [Hrsg.] s. Kirche, Die, Christi. 1940.
A. A.	Issaieff		
Ernest	Issberner-Haldane		
Panait	Istrati		
Helene	Iswolski		
Wsjowolod	Iwanow		
G. I.	Iwanow	G. I.	Iwanow [Ivanov]
Jack	Iwo		
Heinrich Eduard	Jacob		
Walter	Jacob		
Otto	Jacobsen		
Paula	Jacobsen	Paula	Jacobsen, geb. Sünken
Ludwig Harter	Jacobson	Ludwig Harter	Jacobson (Pseud.: Niels Hoyer und Ernst Harthern)
Heinz	Jacoby		
Karl M.	Jacoby		
Norbert	Jacques		
Gustav	Jaeckh		
Johannes	Jaeckle		
Adam	Jaeger		
Arnold	Jaggi		
Helene	Jahn		
Willie	Jahn		
J. A.	Jakowlew		
B. N.	Jakowlewa		
Wenzel	Jaksch		
Alois	Jalkotzy		
Albert	Jamet		
Jurij	Janowskyj		
Jan	Jansen		
Nikolaus	Jansen		
Gregor	Jarcho		
Uwe	Jarl		
Emelian E.	Jaroslawski		
Alois Rudolf Carl	Jaschke		
Jean	Jaurès		
Gotthard	Jedlicka		
A.	Jefimov		Jefimov, A., und N. Freiberg
N.	Freiberg		Jefimov, A., und N. Freiberg
M.	Lejeune-Jehle.		Jehle, M. Lejeune s. Lejeune-Jehle.
Fritz	Jellinek		
Oskar	Jellinek		
Billy	Jenkins		
Otto	Jenssen		
H.	Jerabek		
Jean	Jerry		
Else	Jerusalem		
Georg	Jessel		
Nikolai N.	Jewreinow		
Peter	Jilemnicky		
Alois	Jirásek		
Cäsar	Joerss		
Joachim	Joesten		
Rump	Johann		
Ernst	Johannsen		
Karl	Johannsen		
W. H.	Johannson		
Ellinor	Johannson-Hegel		
Theodor E.	Johner		
Jakob A.	Jokowlew		
Frederick Elwyn	Jones		
Josef	Joos		
Johannes	Jottka		
René	Jouglet		
Vital	Jourdan		
Otto de	Joux		
Marie	Juchacz		Juchacz, Marie, und Johanna Heymann
Johanna	Heymann		Juchacz, Marie, und Johanna Heymann
P.	Juegelt		
Wilhelm	Juengt		
Aron	Jugow		
Franz	Jung		
Hermann	Jung		
Ludwig	Jung		
A.	Junga		
Viktor	Jungfer		
Wilhelm	Ellenbogen		Junius Romanus
Sergej	Jurin		
Artur W.	Just		
Valentin	Just		
Christian	Kabaktschieff		
Walter	Kabel		
Illés	Kaczér		
Hermann Walter	Kaden		
Martha	Kaegi		
Martha	Kaegi-Schalch		
Maria Elisabeth	Kaehnert		
Friedrich	Kaehr		
Ernst	Kaempfe		
Erich	Kaestner		
Sigmund	Kaff		
Franz	Kafka		
Lazar M.	Kaganowitsch		
Moses	Kahana		
Hans von	Kahlenberg		
Erich	Kahler		
Ernst	Kahn		
Fritz	Kahn		
Georg	Kaiser		
Hellmuth	Kaiser		
Julius	Kaiser		
Margarete	Kaiser		
Kurt	Kaiser-Blüth		
Johannes Ev.	Kalán		
Mascha	Kaléko		
M. I.	Kalinin		
Michail Ivanovič	Kalinin		
Josef	Kallinikow		
Julius	Kallus		Kallus, Hermann Käfer u. Wilhelm Katzenbeisser
Hermann	Käfer		Kallus, Hermann Käfer u. Wilhelm Katzenbeisser
Wilhelm	Katzenbeisser		Kallus, Hermann Käfer u. Wilhelm Katzenbeisser
Hans-Erich	Kaminsky		Kaminsky, Hans-Erich
Paul	Kammerer		
Walter	Kampe		
Paul	Kampffmeyer		
Oskar	Kanehl		
M.	Kaniowski		
Otto Felix	Kanitz		
Israel Zwi	Kanner		
Arno	Kansen		
Alfred	Kantorowicz		
Hermann	Kantorowicz		
Leo	Kaplan		
Ernst	Kappeler		
Anna	Karawajewa		
Kurt Peter	Karfeld		
Marta	Karlweis		
Michail	Karpow		
F.	Karsch-Haack		
Fritz	Karsen		
M.	Karski		
Leo	Kassil		
Israel	Kassvan		
Valentin	Katajew		
Walter	Katt		
Anna	Katterfeld		
H. W.	Katz		
Julius	Katzenstein		
Simon	Katzenstein		
Francisco Hilario	Kaufmann		
L.	Kaufmann		
Michael	Kaufmann		
Gina	Kaus		
Benedikt	Kautsky		
Karl	Kautsky		
Luise	Kautsky		
Siegfried	Kawerau		
Anna	Kazmierczak	Anna	Kazmierczak, geb. Ritter
Max	Kegel		
Henning	Kehler		
Gerhard	Kehnscherper		
Ewald	Keiser		
Boris Aleksandrovič	Keller		
F. Paul	Keller		
Georg	Keller		
Helen	Keller		
Bernhard	Kellermann		
C. Richard	Kempe		
H. J.	Ken		
Paul	Ken		
Irmgard	Kenn		
Christian	Kenner		
Madeleine	Kent		
J. M.	Kenworthy		
Henri de	Kerillis		
Henri de	Kerillis, Henri de, et Raymond Cartier		Kerillis, Henri de, et Raymond Cartier
Raymond	Cartier		Kerillis, Henri de, et Raymond Cartier
Kurt	Kerloew-Loewenstein		
Elga	Kern		
Kaethe	Kern		
Walter	Kern		
Wilhelm	Kernig		
Alfred	Kerr		
A. W.	Kersbergen		
Platon M.	Kershenzew		
Kurt	Kersten		
Irma	Kessel		
Joseph	Kessel		
Hermann	Kesser		
G.	Kessler		
Gerhard	Kessler		
Harry Graf	Kessler		
Hermann	Kesten		
Johannes	Keuchel		
Armin	Keutner		
Botho von	Keyserlingk		
Franz Xaver	Kiefl		
Erwin Roderich von	Kienitz		
Else	Kienle		
Ernst	Kiesewetter		
Hans	Kilian		
Peter	Kilian		
Alfred	Kind		
Alfred	Kind		Kind, Alfred, u. Julian Herlinger
Julian	Herlinger		Kind, Alfred, u. Julian Herlinger
Alfred	Kind		Kind, Alfred, und Curt Moreck
Curt	Moreck		Kind, Alfred, und Curt Moreck
Christian Heinrich	Kindler		
Rufus	King		
Hans Karl	Kippenberger		
Stefan	Kirchmann		
Hanna	Schmidt		Kirchner, Hanna s. Schmidt, Hanna, gesch. Kirchner.
Hans	Kirchsteiger		
Anker	Kirkeby		
Clifford	Kirkpatrick		
Sergej	Kirow		
Rudolf	Kirsch		Kirsch, Rudolf
Emil	Kirschmann		
W.	Kirschon		
Egon Erwin	Kisch		
Enoch Heinrich	Kisch		
Georg	Kiser		
Józef	Kisielewski		
A. S.	Kisselew		
Eva	Klaar		
Kurt	Klaeber		
Friedrich Joachim	Klaehn		
Dorothea	Klaje-Wenzel		
Georg	Klaren		
Jakob	Klatskin		
Albert	Klaus		
Wilhelm	Kraft		Klaus, Grenadier [d. i. Wilhelm Kraft]
Wilhelm	Kraft		Klaus, Grenadier [Pseud.] s. Kraft, Wilhelm.
Robert	Klausmann		
Paul	Klee		
Karl	Kleemann		
Eelco Nicolaas van	Kleffens		
Leopold	Klehr		
Fritz	Klein		
Melanie	Klein		
Oskar	Kleinschmied		
Hans	Klemm		Klemm, Hans, u. Max Mielke
Max	Mielke		Klemm, Hans, u. Max Mielke
Heinrich	Kley		
Friedrich	Klingler		
Rosa	Klinke-Rosenberger		
Fritz	Klose		
Anton	Klotz		
Ernst	Klotz		
Helmut	Klotz		
Karl	Klotz		
Luise	Klotz		
Franz	Kluehs		
W. N.	Klujewa		
Otto Michael	Knab		
Erich	Knauf		
Johann	Knief		
Hanns	Knieling		
Franz	Knieper		
Friedrich	Kniestedt		
W.	Knjasew		
W. J.	Knoch		
Ferdinand	Knoll		
Takisi	Kobayashi		
Franz	Kobler		
Adolf	Koch		
Anton	Koch		
Josef	Koch		
Ludwig	Koch		
Oscar	Koch		
Paul de	Kock		
Wilhelm	Kockskemper		
Viktor von	Koczian		
Eberhard	Koebel		
Adolf	Koeberle		
Oswald	Koehler		
Wilhelm	Koenen		
Alma Johanna	Koenig		
Heinrich	Koenig		
Josef	Koenn		
Edlef	Koeppen		
Heinrich	Koerber		
Lenka von	Koerber		
Lilli	Koerber		
Normann	Koerber		
Franz	Koermendi		
Rudolf	Koestenberger		
Karl	Koester		
Arthur	Koestler		
Hermann	Koestlin		
Dosio	Koffler		
Aage von	Kohl		
Hans	Kohn		
David	Koigen		
Oskar	Kokoschka		
W.	Kolaroff		
Annette	Kolb		
Karl	Kolb		
Walter	Kolbenhoff		
Otto	Koll		
Max	Kollenscher		
Alexandra M.	Kollontay		
E.	Kolman		
Aurel	Kolnai		
Adolf	Kolping		
Michail	Kolzow		
A. de	Kom		
Felix	Kon		
	Kondor		
Kaete	Kongsback		
	Konradin		
Johann	Koplenig		Koplenig, Johann [Vorw.]
Ernst	Kopp		
Max	Kopp		
D. K.	Korell		
Hans	Koren		
Karl	Korn		
Kurt	Kornicker		
Kitty	Kornitzer		
Ralf	Kornmann		
Wladimir	Korolenko		
Karl	Korsch		Korsch, Karl
Alexander W.	Kossarew		
S.	Kossior		Kossior, S., u. P. Postyschew
P.	Postyschew		Kossior, S., u. P. Postyschew
Mato	Kosyk		
Wilhelm	Kothe		
Walter M.	Kotschnig		
Leopold	Kovač		
Paul	Kowalski		
Siegfried	Kracauer		
Theodor	Kraemer		
Rudolf	Krafft		
Josepha	Kraigher-Porges		
Theodor	Kramer		
Albert	Kranold		
Paul	Krantz		
Heinz	Kraschutzki		
Jozef Ignacy	Kraszewski		
Robert	Kratzel		
Karl	Kraus		
Gerda	Krause		
Hanns	Krause		
Meta	Kraus-Fessel		
Friedrich Salomo	Krauss		
Hannah	Krautheim		
Bjarnat	Krawc		
Paul	Kreglinger		
Karl	Kreibisch		
Walter	Kreiser		
Fritz	Kreisler		
Hermann	Krelaus		
Max	Krell		
Ernst	Krenek		
Jonas	Kreppel		
M.	Kreuser		
Martin	Kreuser		
Rudolf Jeremias	Kreutz		
Guido	Kreutzer		
Karl	Kreybig		
E.	Krieger		
Otto	Krille		
Michail	Krischanowski		
Paul	Krische		
W. G.	Krivitsky	W. [V.] G.	Krivitsky [Krivickij]
M.	Kriwitzki		
Walther	Kroener		
Kamil	Krofta		
Heinrich Ernst	Kromer		
Hermann	Kronach		Kronach, Hermann
Peter	Kropotkin		
Franz	Krotsch		
G. M.	Krshishanowski		
C. A.	Kruckow		
Franz	Krueger		
Nadezda K.	Krupskaja		
Bernhard	Kruse		
Iven	Kruse		
Nikolai W.	Krylenko		
V. J.	Krysa		
Hongming 	Gu		Ku Hung-Ming
Ludvik	Kuba		
Alfred	Kubin		
F.	Kubka		
Joseph	Kuckhoff		
Jürgen	Kuczynski		
Philipp	Kueble		
Willibert	Kuehler		
Ernst	Kuehn		
Willibald	Kuehn		
Erik Maria R. von	Kuehnelt-Leddihn		
August	Kuehner		
Paul Christian	Kuender		
Fritz u. Ruth	Kuenkel		
Leonhard	Kueppers		
Joachim von	Reichel		Kuerenberg, Joachim von [Pseud.] s. Reichel, Joachim von.
Alfred	Kuermann		
Ferdinand	Kugler		
Anton	Kuh		
Valerian V.	Kuibyschew		
Frits	Kuiper		
Ludwig u. Elfriede	Kummer		
Karl	Kumpmann		
Béla	Kun		
Alfred	Kundert		
Leopold	Kunschak		
Josef	Kunz		
Josef Laurenz	Kunz		
Josef	Kunz		Kunz, Josef
Alexander I.	Kuprin		
Joachim v.	v. Reichel		Kürenberg, Joachim v. [d. i. Joachim v. Reichel]
Robert	Kurt		
Hans	Kurth		
A.	Kusnetzow		
Hermann	Kutter		
Erich	Kuttner		
Otto Wilhelm	Kuusinen		
Etienne de	La Boëtie		
Fritz	Lachmann		
Max	Lackmann		
Stephan	Lackner		
Rudolf	Laemmel		
Heinrich	Laemmlin		
Paul	Lafargue		
René	Laforgue		
Pär	Lagerkvist		
Georges	Lakhovsky		
Friedrich Ritter von	Lama		
Theodor	Lambert		
Paul	Lamberty		
Georg	Lammers		
Friedo	Lampe		
Peter Martin	Lampel		
Kurt	Lamprecht		
Wilhelm	Lamszus		
M. M.	Landa		
Gustav	Landauer		
Esther	Landolt		
Paul Ludwig	Landsberg		
Paul L.	Landsberg		Landsberg, Paul L.
Artur	Landsberger		
Fritz	Landshoff		
Heinrich	Lang		
Johannes	Lang		
P.	Lang		
