Thoma, Richard	http://d-nb.info/gnd/117640778, http://d-nb.info/gnd/118622080, http://d-nb.info/gnd/132394308
Perckhammer, Heinz von	http://d-nb.info/gnd/131554891
Bornemann, Ferdinand	http://d-nb.info/gnd/1023442086, http://d-nb.info/gnd/1047413361
Schnitzler, Arthur	http://d-nb.info/gnd/118609807, http://d-nb.info/gnd/13965688X
Buttenstedt, Karl	http://d-nb.info/gnd/126246815
Fischer, Ruth	http://d-nb.info/gnd/105378844, http://d-nb.info/gnd/106675508, http://d-nb.info/gnd/106721100, http://d-nb.info/gnd/116562323, http://d-nb.info/gnd/118579525, http://d-nb.info/gnd/118691392, http://d-nb.info/gnd/12432293X, http://d-nb.info/gnd/1024250741
Roth, Eugen	http://d-nb.info/gnd/118749935, http://d-nb.info/gnd/121293998, http://d-nb.info/gnd/130957747, http://d-nb.info/gnd/133739430, http://d-nb.info/gnd/137550715
Koll, Otto	http://d-nb.info/gnd/116314648
Kaiser, Julius	http://d-nb.info/gnd/11609012X, http://d-nb.info/gnd/1013072650, http://d-nb.info/gnd/1015802877
Amann, Paul	http://d-nb.info/gnd/116296763
Levine, J. Don	http://d-nb.info/gnd/126618453
Bierbaum, Otto Julius	http://d-nb.info/gnd/118510762
Theek, Bruno	http://d-nb.info/gnd/124791654
Schramm, Wilhelm von	http://d-nb.info/gnd/118610627
Hertz, Paul	http://d-nb.info/gnd/116754451, http://d-nb.info/gnd/11675446X, http://d-nb.info/gnd/116754494
Wolfe, Humbert	http://d-nb.info/gnd/127807098
Melcer, Wanda	http://d-nb.info/gnd/1017871124
Serner, Walter	http://d-nb.info/gnd/118764764
Luschnat, David	http://d-nb.info/gnd/116006617
Olesch, Reinhold	http://d-nb.info/gnd/118945254
Glan, Betty	http://d-nb.info/gnd/12641663X
Rosenbaum, Eduard	http://d-nb.info/gnd/116621583
Goetz, Bruno	http://d-nb.info/gnd/119192330
Adler, Georg	http://d-nb.info/gnd/116008067, http://d-nb.info/gnd/116008075, http://d-nb.info/gnd/132323877, http://d-nb.info/gnd/132345684, http://d-nb.info/gnd/1027333060
Domela Nieuwenhuis, Ferdinand	http://d-nb.info/gnd/118942034
Frank, Leonhard	http://d-nb.info/gnd/118534793, http://d-nb.info/gnd/131599518, http://d-nb.info/gnd/174062176, http://d-nb.info/gnd/1017430446, http://d-nb.info/gnd/1037518098
Lapin, Boris	http://d-nb.info/gnd/119000415, http://d-nb.info/gnd/126765359
Jacob, Heinrich Eduard	http://d-nb.info/gnd/118835327
Dessauer, Adolf	http://d-nb.info/gnd/140910778
Freuchen, Peter	http://d-nb.info/gnd/118693166
Schuman, Frederick L.	http://d-nb.info/gnd/127932038
Hausmann, Raoul	http://d-nb.info/gnd/118547143
Hentschel, Herbert	http://d-nb.info/gnd/172815932
